sales_date;order_id;customer_name;product_name;category;price;quantity;discount;total;shipping_fee;total_sales;status;shipping_address
2025-07-31;ORD00001;Customer_332;Kitchen Set;Dapur;9500000;1;0;9500000;60000;9560000;cancelled;Kelurahan 120, Jakarta Pusat
2025-11-03;ORD00002;Customer_1150;Nakas;Kamar Tidur;1000000;2;0;2000000;60000;2060000;completed;Kelurahan 9, Jakarta Pusat
2025-10-31;ORD00003;Customer_2122;Kursi Bar;Ruang Makan;1295000;2;0;2590000;60000;2650000;completed;Kelurahan 108, Jakarta Pusat
2025-06-19;ORD00004;Customer_2636;Kasur;Kamar Tidur;5500000;3;0;16500000;50000;16550000;completed;Kelurahan 36, Bogor
2025-06-19;ORD00005;Customer_3379;Meja Makan;Ruang Makan;3200000;3;0;9600000;60000;9660000;completed;Kelurahan 73, Tangerang
2025-01-11;ORD00006;Customer_793;Lemari Dapur;Dapur;1850000;1;0;1850000;60000;1910000;completed;Kelurahan 176, Tangerang
2025-12-05;ORD00007;Customer_469;Nakas;Kamar Tidur;1000000;3;0;3000000;60000;3060000;completed;Kelurahan 143, Jakarta Pusat
2025-01-22;ORD00008;Customer_1544;Lemari Laci;Kamar Tidur;1950000;3;0;5850000;60000;5910000;completed;Kelurahan 128, Jakarta Pusat
2025-10-03;ORD00009;Customer_1851;Meja Makan;Ruang Makan;3200000;3;0;9600000;60000;9660000;completed;Kelurahan 22, Jakarta Selatan
2025-04-04;ORD00010;Customer_478;Lemari TV;Ruang Tamu;2300000;1;0,1;2070000;50000;2120000;completed;Kelurahan 94, Depok
2025-05-24;ORD00011;Customer_3107;Nakas;Kamar Tidur;1000000;1;0;1000000;60000;1060000;completed;Kelurahan 163, Tangerang
2025-08-15;ORD00012;Customer_1580;Lemari Laci;Kamar Tidur;1950000;3;0;5850000;60000;5910000;completed;Kelurahan 31, Tangerang
2025-12-30;ORD00013;Customer_555;Lemari Baju;Kamar Tidur;3500000;1;0;3500000;60000;3560000;completed;Kelurahan 158, Tangerang
2025-07-03;ORD00014;Customer_3413;Kursi;Ruang Makan;650000;1;0;650000;60000;710000;completed;Kelurahan 196, Jakarta Selatan
2025-03-05;ORD00015;Customer_1211;Kasur;Kamar Tidur;5500000;2;0;11000000;60000;11060000;completed;Kelurahan 7, Jakarta Selatan
2025-02-17;ORD00016;Customer_1758;Meja Rias;Kamar Tidur;1750000;3;0;5250000;50000;5300000;cancelled;Kelurahan 15, Bekasi
2025-06-05;ORD00017;Customer_1932;Kursi Bar;Ruang Makan;1295000;2;0;2590000;50000;2640000;completed;Kelurahan 89, Bekasi
2025-08-02;ORD00018;Customer_2948;Kitchen Set;Dapur;9500000;2;0;19000000;60000;19060000;completed;Kelurahan 23, Jakarta Selatan
2025-08-31;ORD00019;Customer_2621;Meja Makan;Ruang Makan;3200000;2;0;6400000;50000;6450000;completed;Kelurahan 127, Bogor
2025-07-14;ORD00020;Customer_3314;Lemari Sliding;Kamar Tidur;4750000;3;0;14250000;60000;14310000;completed;Kelurahan 61, Jakarta Pusat
2025-12-01;ORD00021;Customer_1105;Lemari Baju;Kamar Tidur;3500000;3;0;10500000;60000;10560000;completed;Kelurahan 45, Jakarta Barat
2025-04-17;ORD00022;Customer_1600;Lemari Sudut;Ruang Tamu;2750000;1;0;2750000;60000;2810000;cancelled;Kelurahan 20, Tangerang
2025-10-02;ORD00023;Customer_3413;Meja;Ruang Kerja;1250000;1;0;1250000;60000;1310000;completed;Kelurahan 57, Jakarta Utara
2025-08-27;ORD00024;Customer_1625;Meja Kopi;Ruang Tamu;1800000;1;0;1800000;60000;1860000;completed;Kelurahan 32, Tangerang Selatan
2025-10-07;ORD00025;Customer_960;Lemari TV;Ruang Tamu;2300000;2;0;4600000;60000;4660000;completed;Kelurahan 125, Jakarta Barat
2025-07-30;ORD00026;Customer_2597;Kasur;Kamar Tidur;5500000;2;0;11000000;50000;11050000;completed;Kelurahan 188, Bogor
2025-09-27;ORD00027;Customer_1886;Meja Makan;Ruang Makan;3200000;1;0;3200000;60000;3260000;completed;Kelurahan 54, Jakarta Utara
2025-12-12;ORD00028;Customer_2282;Rak Sepatu;Penyimpanan;650000;2;0,1;1170000;60000;1230000;completed;Kelurahan 44, Jakarta Selatan
2025-06-04;ORD00029;Customer_712;Lemari Dapur;Dapur;1850000;1;0;1850000;60000;1910000;completed;Kelurahan 94, Jakarta Timur
2025-10-27;ORD00030;Customer_479;Lemari Baju;Kamar Tidur;3500000;3;0;10500000;60000;10560000;completed;Kelurahan 41, Jakarta Selatan
2025-01-28;ORD00031;Customer_2668;Lemari Sudut;Ruang Tamu;2750000;2;0;5500000;60000;5560000;completed;Kelurahan 114, Jakarta Timur
2025-01-06;ORD00032;Customer_3237;Meja Rias;Kamar Tidur;1750000;2;0;3500000;60000;3560000;cancelled;Kelurahan 197, Jakarta Utara
2025-12-21;ORD00033;Customer_3459;Lemari Sliding;Kamar Tidur;4750000;1;0;4750000;50000;4800000;completed;Kelurahan 9, Bogor
2025-06-13;ORD00034;Customer_471;Kitchen Set;Dapur;9500000;3;0;28500000;60000;28560000;completed;Kelurahan 51, Jakarta Pusat
2025-02-20;ORD00035;Customer_245;Meja Makan;Ruang Makan;3200000;1;0;3200000;50000;3250000;completed;Kelurahan 11, Bogor
2025-01-01;ORD00036;Customer_1985;Lemari Baju;Kamar Tidur;3500000;2;0,1;6300000;60000;6360000;completed;Kelurahan 90, Tangerang Selatan
2025-03-16;ORD00037;Customer_2669;Rak Sepatu;Penyimpanan;650000;2;0;1300000;50000;1350000;refund;Kelurahan 123, Depok
2025-03-07;ORD00038;Customer_3054;Lemari Baju;Kamar Tidur;3500000;2;0;7000000;60000;7060000;completed;Kelurahan 9, Jakarta Selatan
2025-01-10;ORD00039;Customer_1707;Lemari Dapur;Dapur;1850000;2;0;3700000;60000;3760000;completed;Kelurahan 139, Jakarta Barat
2025-04-02;ORD00040;Customer_2820;Rak Buku;Penyimpanan;1100000;3;0;3300000;60000;3360000;completed;Kelurahan 94, Jakarta Pusat
2025-05-31;ORD00041;Customer_2660;Lemari Sliding;Kamar Tidur;4750000;1;0;4750000;50000;4800000;completed;Kelurahan 66, Depok
2025-10-24;ORD00042;Customer_2398;Rak Buku;Penyimpanan;1100000;2;0;2200000;60000;2260000;completed;Kelurahan 115, Jakarta Selatan
2025-10-10;ORD00043;Customer_59;Lemari Sliding;Kamar Tidur;4750000;3;0,1;12825000;60000;12885000;completed;Kelurahan 9, Jakarta Pusat
